time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-15T17:27:09.375Z,36.0998,31.1182,70.1,4.4,mb,,140,1.17,0.81,us,us60008g49,2020-03-15T20:24:09.040Z,"western Turkey",earthquake,4.4,10.3,0.123,19,reviewed,us,us
2020-03-15T16:17:04.699Z,32.6608,85.4123,10,4.2,mb,,114,4.84,0.77,us,us60008g3i,2020-03-15T17:13:09.040Z,"western Xizang",earthquake,7.8,1.9,0.132,19,reviewed,us,us
2020-03-15T15:00:16.956Z,28.1619,83.475,10,4.3,mb,,99,2.955,0.96,us,us60008g2y,2020-03-16T03:03:36.195Z,"Nepal",earthquake,9.3,1.9,0.082,42,reviewed,us,us
2020-03-15T14:36:35.836Z,-21.8951,-68.6778,117.91,4.2,mb,,77,0.533,0.65,us,us60008g2n,2020-03-15T15:22:44.040Z,"Antofagasta, Chile",earthquake,4.3,7.8,0.216,9,reviewed,us,us
2020-03-15T14:30:51.820Z,17.8894,-66.7515,1,3.05,md,6,216,0.2113,0.24,pr,pr2020075017,2020-03-15T15:14:42.521Z,"Puerto Rico region",earthquake,1.1,0.93,0.32,4,reviewed,pr,pr
2020-03-15T14:25:18.215Z,37.1515,71.1704,91.05,4.3,mb,,66,1.81,0.4,us,us60008g2h,2020-03-15T15:05:57.040Z,"Hindu Kush region, Afghanistan",earthquake,7.6,9.7,0.106,26,reviewed,us,us
2020-03-15T12:40:33.330Z,17.9473,-66.7486,8,2.68,md,4,203,0.1714,0.03,pr,pr2020075015,2020-03-15T12:58:41.163Z,"Puerto Rico region",earthquake,0.88,1.89,0.41,3,reviewed,pr,pr
2020-03-15T12:11:33.727Z,-21.2867,-68.9536,126.38,4.2,mb,,58,0.554,0.62,us,us60008g19,2020-03-15T12:24:34.040Z,"Tarapaca, Chile",earthquake,7.1,9.3,0.187,8,reviewed,us,us
2020-03-15T11:29:06.426Z,39.8151,13.3187,475.49,4.4,mb,,57,1.544,0.92,us,us60008g0w,2020-03-15T11:46:37.040Z,"Tyrrhenian Sea",earthquake,14.2,14.3,0.105,26,reviewed,us,us
2020-03-15T11:17:18.290Z,17.9263,-66.9631,12,2.72,md,4,229,0.0971,0.07,pr,pr2020075011,2020-03-15T11:52:04.393Z,"Puerto Rico region",earthquake,0.97,0.63,0.09,2,reviewed,pr,pr
2020-03-15T10:56:33.520Z,17.9785,-66.8148,17,2.95,md,6,195,0.0645,0.05,pr,pr2020075010,2020-03-15T11:58:43.371Z,"Puerto Rico",earthquake,1.04,0.77,0.38,3,reviewed,pr,pr
2020-03-15T10:35:33.894Z,37.4578,36.1208,10,4.2,mb,,115,0.913,0.96,us,us60008g0e,2020-03-15T11:04:09.077Z,"central Turkey",earthquake,4.2,1.9,0.167,10,reviewed,us,us
2020-03-15T10:08:17.238Z,32.2389,-16.732,10,3.8,ml,,133,0.702,1.18,us,us60008g09,2020-03-15T14:50:28.767Z,"Madeira Islands, Portugal region",earthquake,3.5,2,0.181,4,reviewed,us,us
2020-03-15T09:34:52.422Z,14.8819,-91.2007,161.87,4.4,mb,,94,0.522,0.92,us,us60008fzz,2020-03-15T10:19:15.040Z,"Guatemala",earthquake,7.8,9.8,0.135,16,reviewed,us,us
2020-03-15T09:21:04.619Z,36.4219,71.159,85.03,4.2,mb,,76,2.314,1.21,us,us60008fzt,2020-03-15T10:10:08.040Z,"Hindu Kush region, Afghanistan",earthquake,7.5,10.7,0.136,15,reviewed,us,us
